Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Michael Anastassiades,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hilde Angelfoss Øxseth,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ant Farm,2009,Media Burn,2003,"Video (color, sound)",1980-11-18,Media and Performance Art,Video,American,Unknown,,
Jorre van Ast,2009,Clampology (Prototypes),2006,Polyurethane and steel,2008-11-10,Architecture & Design,Design,Dutch,Male,1980,
Bård Eker Industrial Design,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Graham,2009,"Republican Parade, Strabane, Ireland",1986,Chromogenic color print,1988-03-10,Photography,Photograph,British,Male,1956,
Gabriel Orozco,2010,XRTC 4,1996,Rubbed graphite on paper,1999-05-06,Drawings,Drawing,Mexican,Male,1962,
Ivan LeLorraine Albright,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Frank Auerbach,1991,Head of Catherine Lampert VI,1979,Charcoal and chalk on paper,1981-11-13,Drawings,Drawing,British,Male,1931,
Milton Avery,1991,Milton Avery: Paintings 1930-1960,1962,Illustrated book with 1 etching,1996-11-12,Prints & Illustrated Books,Illustrated Book,American,Male,1885,1965
Max Beckmann,1991,Exhibition Poster,0,Unknown,Unknown,Architecture & Design,Design,German,Male,1884,1950
Vincent Canadé,1991,Double Self Portrait,1927,Lithograph,1936-01-14,Prints & Illustrated Books,Print,American,Male,1879,1961
Liubov Popova,1991,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ansel Adams,1991,New Mexico,1933,Gelatin silver print,1939-01-06,Photography,Photograph,American,Male,1902,1984
Gregory Ain,1991,Exhibition House for the Museum of Modern Art Garden,1950,"Paper, wood, plastic, plexiglass, metal, aluminum and paint",2014-01-29,Architecture & Design,Architecture,American,Male,1908,1988
Josef Albers,1991,Tea Glass with Saucer and Stirrer,1925,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",1957-05-15,Architecture & Design,Design,American,Male,1888,1976
Francis Bacon,1991,Painting,1946,Oil and pastel on linen,1948-10-06,Painting & Sculpture,Painting,British,Male,1909,1992
Ernst Barlach,1991,Group in a Storm (Gruppe im Sturm)(plate 14) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1919,"Woodcut from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",Unknown,Prints & Illustrated Books,Illustrated Book,German,Male,1870,1938
René Beeh,1991,Lion (Löwe) (plate 28) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1920,"Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",Unknown,Prints & Illustrated Books,Illustrated Book,German,Male,1886,1922
Heinrich Campendonk,1991,Peasants Strolling (Bauerngang) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1918,"Woodcut from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",Unknown,Prints & Illustrated Books,Illustrated Book,German,Male,1889,1957
Karl Caspar,1991,The Visitation (Heimuchung) (plate 26) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1917,"Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",Unknown,Prints & Illustrated Books,Illustrated Book,German,Male,1879,1956
Jean (Hans) Arp,1991,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),1991,Factory,1920,Ink and crayon on paper,1962-01-09,Drawings,Drawing,German,Male,1892,1927
Hans Bellmer,1991,"Little Girl with a Top (plate, page 103) from Feuilles éparses",1965,Engraving,1970-05-12,Prints & Illustrated Books,Illustrated Book,German,Male,1902,1975
Victor Brauner,1991,Bestiaire,1963,Silkscreen,1967-10-18,Architecture & Design,Design,Romanian,Male,1903,1966
André Breton,1991,Poème-Objet  from VVV Portfolio,1943,"Postcard, thread, sequins, and ink on paper from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",1964-10-06,Prints & Illustrated Books,Multiple,French,Male,1896,1966
Georg Baselitz,1991,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Roberto Burle Marx,1991,"Ibirapuera Park, Quadricentennial Gardens, project, São Paulo, Brazil, Plan, detail five",1953,Gouache on board,1954-06-16,Architecture & Design,Architecture,Brazilian,Male,1909,1994
Oscar Niemeyer,1991,"Fata Engineering Headquarters, Turin, Italy, Sketch in maquette for Modulo Journal No. 46",1975,"Ink, felt-tipped marker, and pencil on 
printed paper with cut-and-pasted painted paper",2007-06-05,Architecture & Design,Architecture,Brazilian,Male,1907,2012
Ad Reinhardt,1991,Untitled from Artists and Writers Against the War in Viet Nam,1967,Screenprint with collage from a portfolio of 9 screenprints (1 with die-cut and 1 with punched holes); 6 lithographs (1 with embossing); and 1 soft ground etching,1967-10-18,Prints & Illustrated Books,Print,American,Male,1913,1967
Lee Friedlander,1991,"New City, New York",1974,Gelatin silver print,1992-01-09,Photography,Photograph,American,Male,1934,
Edmond-François Aman Jean,1991,Portrait of Mlle. Moréno of the Comédie Française,1897,Lithograph with chine collé,1951-05-24,Prints & Illustrated Books,Print,French,Male,1858,1936
Pierre Bonnard,1991,"Solfège, preliminary cover design for Petit Solfège Illustré",1893,Lithograph with watercolor additions,1990-01-16,Prints & Illustrated Books,Illustrated Book,French,Male,1867,1947
Mary Cassatt,1991,Under the Horse-Chestnut Tree,1896,Drypoint and aquatint,1940-04-05,Prints & Illustrated Books,Print,American,Female,1844,1926
Paul Cézanne,1991,"Landscape at Auvers, plate I (frontispiece) from Cézanne",1914,Etching,1954-01-12,Prints & Illustrated Books,Illustrated Book,French,Male,1839,1906
Henri-Edmond Cross,1991,Landscape with Figures,1905,Watercolor on paper,1957-02-27,Drawings,Drawing,French,Male,1856,1910
Dennis Adams,1991,Patricia Hearst: A Thru Z,1990,Portfolio of twenty-six screenprints,1990-05-02,Prints & Illustrated Books,Print,American,Male,1948,
Jennifer Bartlett,1991,"Black, Gray, White from the portfolio Art Pro Choice II",1991,Woodcut,1999-11-18,Prints & Illustrated Books,Print,American,Female,1941,
John Steuart Curry,1991,John Brown,1940,Lithograph,1990-10-23,Prints & Illustrated Books,Print,American,Male,1897,1946
Hanne Darboven,1991,49 x 49 (7 x 7 = 49),1972,Graphite pencil on 49 sheets of lined paper,1973-05-24,Drawings,Drawing,German,Female,1941,2009
Stephen Armellino,1991,Bullet-Resistant Mask,1983,Kevlar and polyester resin,1992-01-15,Architecture & Design,Design,American,Male,1955,
Max Beckmann,1992,Exhibition Poster,0,Unknown,Unknown,Architecture & Design,Design,German,Male,1884,1950
Vanessa Bell,1992,Alfriston - See Britain First on Shell,1931,Lithograph,1937-11-22,Architecture & Design,Design,British,Female,1879,1961
Peter Blume,1992,"Study for Parade (Waterfront, Manhattan)",1929,Gouache on board,1935-06-13,Drawings,Drawing,American,Male,1906,1992
Georges Braque,1992,"Exposition, Galerie Maeght",1959,Lithograph in six colors,1960-04-06,Architecture & Design,Design,French,Male,1882,1963
Claudio Bravo,1992,The Skull,1973,Conté crayon on paper,1978-04-04,Drawings,Drawing,Chilean,Male,1936,2011
Philip-Lorca diCorcia,1991,David,1990,Chromogenic color print,1991-03-14,Photography,Photograph,American,Male,1951,
Cindy Sherman,1991,Untitled #96,1981,Chromogenic color print,1982-03-11,Photography,Photograph,American,Female,1954,
Eberhard Grames,1992,"Man with His Truck, East Germany",1990,Chromogenic color print,1992-04-02,Photography,Photograph,German,Male,1953,
Sheron Rupp,1992,"Untitled (Belt Creek, Montana)",1996,Chromogenic color print,1997-03-06,Photography,Photograph,American,Female,1943,
Stephen Scheer,1992,Silver Maple/Autumn Landscape,1989,Chromogenic color print,1992-04-02,Photography,Photograph,American,Male,1954,
Jean (Hans) Arp,1992,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
George Bellows,1992,Under the Elevated,1908,"Watercolor, ink, and pencil on paper",1935-06-13,Drawings,Drawing,American,Male,1882,1925
Pierre Bonnard,1992,"Solfège, preliminary cover design for Petit Solfège Illustré",1893,Lithograph with watercolor additions,1990-01-16,Prints & Illustrated Books,Illustrated Book,French,Male,1867,1947
Carl Otto Czeschka,1992,Die Nibelungen (The Nibelungs),1920,Illustrated book with eight double-page line block reproductions,1981-01-15,Prints & Illustrated Books,Illustrated Book,Austrian,Male,1878,1960
Josef Albers,1992,Tea Glass with Saucer and Stirrer,1925,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",1957-05-15,Architecture & Design,Design,American,Male,1888,1976
John Baldessari,1992,"The Life and Opinions of Tristram Shandy, Gentleman",1988,Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1989-01-18,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Jonathan Borofsky,1992,"Double Self-Portrait with Moving Hands at 2,626,636",1979,Crayon on paper,1982-06-01,Drawings,Drawing,American,Male,1942,
Vija Celmins,1992,"WHALE (plate, folio 9 verso) from A BESTIARY",1990,"Woodcut, printed in black",1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Female,1938,
Ron Davis,1992,Cube III,1971,Photo-offset,1971-03-30,Prints & Illustrated Books,Print,American,Male,1937,
Richard Serra,1992,Pittsburgh,1985,Paintstik on paper mounted on thin fabric,1987-04-03,Drawings,Drawing,American,Male,1938,
Achille Castiglioni,1992,Spirale Ashtray (7690),1970,Stainless steel,1997-01-15,Architecture & Design,Design,Italian,Male,1918,2002
Pier Giacomo Castiglioni,1992,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Richard Sapper,1992,Electronic Stopwatch (model 520),1974,Plastic casing,1976-03-22,Architecture & Design,Design,German,Male,1932,2015
Pablo Picasso,1992,"Picasso, ""Les Menines,"" Galerie Louise Leiris",1959,Lithograph,1960-04-06,Architecture & Design,Design,Spanish,Male,1881,1973
Pierre Alechinsky,1992,Vacillations,1979,34 lithographs and supplementary suite with 16 lithograph and pochoirs and 2 lithographs,1988-01-19,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1927,
Horst Antes,1992,Frontispiece from OFFSETS,1966,Unknown,1967-04-11,Prints & Illustrated Books,Illustrated Book,German,Male,1936,
Karel Appel,1992,"Front cover from Frie Kunstnere , Volume 3",1950,Book with lithographed cover,1992-05-20,Prints & Illustrated Books,Illustrated Book,Dutch,Male,1921,2006
Arman,1992,Arman Estampes Catalogues Raisonné,1990,Two drypoints,1996-03-12,Prints & Illustrated Books,Illustrated Book,American,Male,1928,2005
Enrico Baj,1992,"GENERAL WITH THE MOULDY HEAD (plate, folio 12) from DAMES ET GÉNÉRAUX",1964,"Soft ground etching and aquatint, printed in color, with wood veneer chine collé",1968-02-05,Prints & Illustrated Books,Illustrated Book,Italian,Male,1924,2003
Kaj Franck,1992,Prisma Tumblers,1967,Pressed glass,2001-09-24,Architecture & Design,Design,Finnish,Male,1911,1989
Antoni Tàpies,1992,Petrificada Petrificante,1978,"7 aquatints (including wrapper) with carborundum, collagraph, and/or aquatint, and 1 etching and carborundum; and supplementary suite",1981-01-15,Prints & Illustrated Books,Illustrated Book,Spanish,Male,1923,2012
Jean Le Gac,1992,La Construction de la Cabane,1976,Illustrated book with letterpress text and nine photographs,1980-04-23,Prints & Illustrated Books,Illustrated Book,French,Male,1936,
Annette Lemieux,1992,Memoirs of a Survivor,1989,1 photograph (unbound in separate folder); and 20 photolithographic reproductions,1990-01-16,Prints & Illustrated Books,Illustrated Book,American,Female,1957,
David Levinthal,1992,"Untitled. From the series ""Desire""",1990,Color instant print (Polaroid),1994-01-13,Photography,Photograph,American,Male,1949,
Abelardo Morell,1992,Brady Sitting,1989,Gelatin silver print,1992-04-02,Photography,Photograph,American,Male,1948,
Kiki Smith,1992,Anemone from A Bestiary,1990,Linoleum cut,1991-01-23,Prints & Illustrated Books,Illustrated Book,American,Female,1954,
Lawrence Atkinson,1992,Abstract Composition,1914,Pencil and pastel on silver gelatin print,1978-04-04,Drawings,Drawing,British,Male,1873,1931
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),1992,Factory,1920,Ink and crayon on paper,1962-01-09,Drawings,Drawing,German,Male,1892,1927
Umberto Boccioni,1992,Study for Portrait of Ferrucio Busoni,1916,Pen and ink on paper,1952-01-22,Drawings,Drawing,Italian,Male,1882,1916
David Bomberg,1992,Plate (folio 2 verso) from RUSSIAN BALLET,1919,Unknown,1960-05-26,Prints & Illustrated Books,Illustrated Book,British,Male,1890,1957
Philip Guston,1992,In-text plate (folio 66 recto) from In Memory of My Feelings,1967,One from an illustrated book with forty-six lithographs,1968-02-05,Prints & Illustrated Books,Illustrated Book,American,Male,1913,1980
Henri Matisse,1993,"Paintings, Drawings, Sculptures, Tapestries",1952,Poster,1952-05-20,Architecture & Design,Design,French,Male,1869,1954
Tullio d'Albisola (Tullio Spartaco Mazzotti),1993,"Front cover from Parole in Libertà Futuriste, Tattili-Termiche Olfattive",1934,Unknown,1992-11-04,Prints & Illustrated Books,Illustrated Book,Italian,Male,1899,1971
Lucas Samaras,1993,I Love You,1961,Poster,1963-03-13,Architecture & Design,Design,American,Male,1936,
Karen Fairbanks,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Arata Isozaki,1993,"Nara Convention Hall, Nara, Japan, Exterior perspective",1992,Computer-generated print,1993-05-04,Architecture & Design,Architecture,Japanese,Male,1931,
Scott Marble,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pablo Picasso,1993,"Picasso, ""Les Menines,"" Galerie Louise Leiris",1959,Lithograph,1960-04-06,Architecture & Design,Design,Spanish,Male,1881,1973
Magdalena Abakanowicz,1993,Yellow Abakan,1967,Sisal,1974-11-06,Architecture & Design,Design,Polish,Female,1930,
Julia Margaret Cameron,1993,Venus Chiding Cupid and Removing His Wings,1872,Albumen silver print,1989-03-09,Photography,Photograph,British,Female,1815,1879
Mike and Doug Starn,1993,Double Rembrandt with Steps,1987,"Gelatin silver prints (toned, ortho film, wood, adhesive and plexiglass)",1992-06-18,Photography,Photograph,American,Male,1961,
Vito Acconci,1993,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Aftograf,1993,Poems from S.M.S. No. 3,1968,Two artist's books,1977-11-10,Prints & Illustrated Books,Illustrated Book,Russian,Unknown,,
Pierre Alechinsky,1993,Vacillations,1979,34 lithographs and supplementary suite with 16 lithograph and pochoirs and 2 lithographs,1988-01-19,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1927,
Emma Amos,1993,Take One,1985,Stencil,1989-10-12,Prints & Illustrated Books,Print,American,Female,1938,
Max Ernst,1993,"Arp, Max Ernst, A. Giacometti, Miro, Gonzalez",1934,Letterpress,1952-05-20,Architecture & Design,Design,French,Male,1891,1976
Santiago Calatrava,1993,"Alamillo Bridge and Cartuga Viaduct, Seville, Spain, Elevations",1988,Conté crayon on tracing paper,1996-09-25,Architecture & Design,Architecture,Spanish,Male,1951,
Philip-Lorca diCorcia,1993,David,1990,Chromogenic color print,1991-03-14,Photography,Photograph,American,Male,1951,
Carlos Almarez,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Carmelo Arden Quin,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Luis Cruz Azaceta,1993,Lotto: The American Dream from 10: Artist as Catalyst,1992,One from a portfolio of ten screenprints,1993-01-18,Prints & Illustrated Books,Print,American,Male,1942,
Frida Baranek,1993,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rafael Barradas,1993,Portrait of Joaquín Torres-García (Retrato de Joaquín Torres-García),1918,"Gouache, watercolor, and pencil on paper mounted on board",2016-01-21,Drawings,Drawing,Uruguayan,Male,1890,1929
